Rosalie,Enrique,4309,2020-04-16 03:10:40
Rosalie,Damaris,2357,2019-12-26 18:39:34
Enrique,Abel,8545,2019-09-04 10:53:21
Jaslene,Dexter,1747,2019-12-26 18:39:34
Chris,Dexter,4915,2019-11-01 15:51:08
Heider,Dexter,8427,2018-05-15 17:55:11
Damaris,Luke,2854,2019-05-28 19:31:53
Shelia,Luke,1634,2018-06-27 08:20:31
Raymond,Chris,3858,2019-04-24 13:49:22
Dexter,Luke,6067,2020-05-14 10:14:01
Chris,Sabrina,7755,2018-03-05 04:19:19
Abel,Shelia,6429,2018-09-17 17:42:35
Rosalie,Enrique,4127,2018-11-30 13:36:36
Ruby,Dominick,2797,2020-03-06 23:39:45
Damaris,Jaslene,4949,2018-08-23 03:20:12
Davian,Lydia,6494,2019-05-06 09:58:01
Shelia,Dominick,8766,2019-08-05 23:55:08
Jaslene,Chris,8545,2019-10-12 11:32:54
Heider,Enrique,2073,2020-12-01 12:46:00
Davian,Raymond,3988,2020-08-10 08:44:42
Chris,Rosalie,2067,2020-11-02 18:29:31
Shelia,Davian,7299,2020-04-29 06:28:58
Dominick,Dominick,7369,2018-09-08 23:20:32
Chris,Winfred,9150,2020-12-01 12:46:00
Abel,Luke,1334,2020-06-10 06:45:46
Davian,Dexter,7144,2020-03-06 23:39:45
Davian,Shelia,8332,2019-07-29 07:43:00
Heider,Luke,1626,2019-12-19 11:24:36
Dominick,Sabrina,1870,2018-03-05 04:19:19
Davian,Davian,8590,2020-09-06 04:05:33
Damaris,Ruby,7395,2020-04-12 06:57:54
Ruby,Rosalie,6583,2019-02-16 07:08:21
Dominick,Chris,3807,2018-03-05 12:01:10
Rosalie,Damaris,1496,2019-12-19 11:24:36
Rosalie,Lydia,6145,2018-12-04 05:57:53
Heider,Enrique,8884,2019-03-16 14:44:19
Abel,Heider,942,2020-02-08 01:00:28
Dexter,Raymond,8919,2018-02-17 03:25:39
Dexter,Jaslene,8880,2018-05-28 15:54:51
Enrique,Jaslene,5684,2020-10-29 16:37:02
Mauro,Lydia,411,2018-09-28 05:37:17
Davian,Ashley,4397,2020-11-23 18:00:50
Luke,Jaslene,8586,2018-09-17 17:42:35
Sabrina,Abel,283,2018-12-09 00:00:10
Michael,Raymond,6368,2018-05-04 22:57:57
Abel,Lydia,5475,2018-05-28 15:54:51
Ashley,Damaris,2869,2019-04-24 13:49:22
Damaris,Davian,7341,2018-02-20 01:24:25
Damaris,Abel,3183,2020-08-13 21:31:42
Enrique,Chris,3973,2019-06-15 18:43:56
